	title	cn	_merge
0	Title: Atlas of the early Christian world / F. van der Meer 	BR160.A2 M4	left_only
1	Title: Historical atlas of religion in America / Edwin Scott 	BR515 .G3 1976	left_only
2	Title: New atlas of the Bible [by] Jan H. Negenman. Edited by 	BS621 .N44	left_only
3	Title: The Westminster historical atlas to the Bible / edited 	BS630 .W7 1956	left_only
4	Title: The Macmillan Bible atlas / by Yohanan Aharoni and 	BS631 .A53 1977	left_only
5	Title: Atlas of the Bible. Translated and edited by Joyce M. 	BS631 .G7 1956	left_only
6	Title: Current affairs atlas / edited by Donald Paneth ; 	D421 .C87	left_only
7	Title: An atlas of Russian history; eleven centuries of 	DK17 .C5	left_only
8	Title: The Muslims in the world / [cartographic material] / 	DS35.625.A1 M83	left_only
9	Title: The Muslims in the world / [cartographic material] / 	DS35.625.A1 M83	left_only
10	Title: Atlas of Mesopotamia; a survey of the history and 	DS69.5 .B44	left_only
11	Title: Atlas of the Philippine Islands ... 	DS654 .M2	left_only
12	Title: The story of America as reported by its newspapers 	E173 .E54	left_only
13	Title: The American heritage pictorial atlas of United States 	E179.5 .A54	left_only
14	Title: Atlas for the American Civil War / Thomas E. Griess 	E470 .A45 1986	left_only
15	Title: Index-gazetteer of the world. 	G103 .T5	left_only
16	Title: General world atlases in print, 1972-1973; a 	G1000 .W34 1973	left_only
17	Title: The Columbus atlas; or, Regional atlas of the world 	G1019 .B3	left_only
18	Title: Collier's world atlas and gazetteer, presenting the 	G1019 .C5 1953	left_only
19	Title: New modern world atlas. 	G1019 .C7	left_only
20	Title: Man's domain; a thematic atlas of the world. [Norman 	G1019 .G45	left_only
21	Title: Goode's world atlas. Edited by Edward B. Espenshade 	G1019 .G6 1964	left_only
22	Title: Hammond's ambassador world atlas. 	G1019 .H265 1955	left_only
23	Title: Hammond's library world atlas. 	G1019 .H32 1965	left_only
24	Title: McGraw-Hill international atlas / edition: 	G1019 .M32	left_only
25	Title: Aldine university atlas. Consulting editor: Norton 	G1019 .P55	left_only
26	Title: The library atlas / [cartographic material] / edited 	G1019 .P57 1967	left_only
27	Title: Pergamon world atlas [prepared by the Polish Army 	G1019 .P67 1968	left_only
28	Title: Rand McNally cosmopolitan world atlas [cartographic 	G1019 .R3 1949	left_only
29	Title: The world atlas. [Editorial board: A.N. Baranov and 	G1019 .R88	left_only
30	Title: The world atlas. Index-gazetteer [cartographic 	G1019 .R88 INDEX	left_only
31	Title: The Times atlas of the world. 	G1019 .T52 V. 1	left_only
32	Title: The Times atlas of the world. 	G1019 .T52 V. 2	left_only
33	Title: The Times atlas of the world. 	G1019 .T52 V. 3	left_only
34	Title: The Times atlas of the world. 	G1019 .T52 V. 4	left_only
35	Title: The Times atlas of the world. 	G1019 .T52 V. 5	left_only
36	Title: The Dorling Kindersley world reference atlas. 	G1021 .D63 1994	left_only
37	Title: Hammond ambassador world atlas. 	G1021 .H265 1992	left_only
38	Title: Hammond new century world atlas [cartographic 	G1021 .H2735 1999 <G&M	left_only
39	Title: The state of the world atlas / Michael Kidron & Ronald 	G1021 .K46 1981	left_only
40	Title: The great geographical atlas. 	G1021 .R27 1984	left_only
41	Title: Today's world : a new world atlas from the 	G1021 .R33 1993	left_only
42	Title: Rand McNally premier world atlas [cartographic 	G1021 .R45 1997	left_only
43	Title: The Times atlas of the world. 	G1021. T563 1995	left_only
44	Title: Facsimile-atlas to the early history of cartography 	G1025 .N7 1973	left_only
45	Title: An atlas of rare city maps [cartographic material] : 	G1028 .B65 1997	left_only
