	title	cn	_merge
99	Title: Atlas of world physical features [by] Rodman E. Snead. 	G1046.C1 S6 1972	left_only
100	Title: Atlas of classical archaeology / edited by M. I. 	G1046.E15 A8 1977	left_only
101	Title: The World atlas of archaeology / foreword by Michael 	G1046.E15 W6 1985	both
102	Title: World atlas of the child / [cartographic material] / 	G1046.E24 I5 1979	left_only
103	Title: An atlas of international migration / Aaron Segal ; 	G1046.E27 S4 1993	left_only
104	Title: A strategic atlas : comparative geopolitics of the 	Produced Thursday, February 15, 2024 at 4:11 PM	left_only
105	Title: Third World atlas / prepared by Ben Crow and Alan 	G1046.G1 C7 1985	both
106	Title: Third world atlas / Alan Thomas with Ben Crow ... [et 	G1046.G1 C7 1994	left_only
107	Title: The Economist atlas / [editor, Ian Castello-Cortes ; 	G1046.G1 E26 1992	left_only
108	Title: Atlas of the environment / Geoffrey Lean, Don 	G1046.G3 L4 1994	left_only
109	Title: Atlas of economic development. With a foreword by Bert 	G1046 .G5	left_only
110	Title: Oxford economic atlas of the world; prepared by the 	G1046 .O6 1972	left_only
111	Title: Atlas of the mysterious in North America / Rosemary 	G1106.E627 G84 1995	left_only
112	Title: Railroad maps of North America : the first hundred 	G1106.P3 M6 1984	left_only
113	Title: The atlas of North American exploration : from the 	G1106.S12 G6 1992	left_only
114	Title: The national atlas of Canada. 	G1115 .C3 1974	left_only
115	Title: The atlas of contemporary America : portrait of a 	G1200 .D6 1994	left_only
116	Title: Macmillan color atlas of the states / [cartographic 	G1200 .M4 1996	left_only
117	Title: The national atlas of the United States of America. 	G1200 .U57 1970	both
118	Title: Weather atlas of the United States = originally titled 		left_only
119	Title: Climatic atlas of the United States. 	G1201.C8 V5	left_only
120	Title: The women's atlas of the United States / [cartographic 	G1201.E1 G5 1995	left_only
121	Title: Atlas of American Indian affairs / Francis Paul Prucha 	G1201.E1 P7 1990	left_only
122	Title: Atlas of American women / Barbara Gimla Shortridge. 	G1201.E1 S5 1987	left_only
123	Title: The state atlas of political and cultural diversity / 	G1201.E25 L5 1996	left_only
124	Title: Atlas of American migration / Stephen A. Flanders. 	G1201.E27 F5 1998	left_only
125	Title: Atlas of the 1990 census / Mark T. Mattson. 	G1201.E2 M3 1992	both
126	Title: Atlas of religious change in America, 1952-1971 / 	G1201.E423 H3 V. 1952-1971	left_only
127	Title: Atlas of religious change in America, 1952-1990 / 	G1201.E425 H3 1994	left_only
128	Title: The almanac of state legislatures : state data atlas / 	G1201.F7 L5 1994	left_only
129	Title: The historical atlas of state power in Congress 	G1201.F7 M37 1993	left_only
130	Title: Map guide to the U.S. federal censuses, 1790-1920 / 	G1201.F7 T5 1987	left_only
131	Title: The historical atlas of United States Congressional 	G1201.F9 M3 1982	both
132	Title: Atlas of United States environmental issues / Robert 	G1201.G3 M3 1990	both
133	Title: Mapping America's past [cartographic material] : a 	G1201.S1 C3 1996	both
134	Title: American history atlas [cartographic material] / 	G1201.S1 G5	left_only
135	Title: The Dent atlas of American history [cartographic 	G1201.S1 G5 1993	left_only
136	Title: These States united : atlas of American history. 	G1201.S1 R3 1974	left_only
137	Title: Historical atlas of the U.S. Navy / by Craig L. 	G1201.S1 S8 1995	left_only
138	Title: Atlas of the American Revolution / map selection and 	G1201.S3 N4	left_only
139	Title: Campaigns of the American Revolution : an atlas of 	G1201.S3 P4 1976	left_only
140	Title: The atlas of the Civil War / edited by James M. 	G1201.S5 A85 1994	both
141	Title: A comparative atlas of America's great cities : twenty 	G1204.A1 A3 1976	both
142	Title: Atlas of the historical geography of the United 	G1224 .P3	left_only
