	title	cn	_merge
79	Title: Concise historical atlas of Canada / [cartographic 	G1116.S1 C6 1998	right_only
80	Title: Macmillan color atlas of the states / [cartographic 		right_only
81	Title: Atlas of United States mortality / [cartographic 	G1201.E24 A8 1996	right_only
82	Title: Census atlas of the United States [cartographic 	G1201.E2 U5 2007	right_only
83	Title: New historical atlas of religion in America / Edwin 	G1201.E4 N4 2001	right_only
84	Title: Atlas of American sport / John Rooney, Richard 	G1201.E63 R6 1992	right_only
85	Title: Historical U.S. county outline map collection 	G1201.F7 U58 1984	right_only
86	Title: Atlas of the 2008 elections [cartographic material] / 	G1201.F9 A8 2011	right_only
87	Title: Historical atlas of U.S. presidential elections 	G1201.F9 H5 2006	right_only
88	Title: The historical atlas of political parties in the 	G1201.F9 M25 1989	right_only
89	Title: Atlas of American agriculture [cartographic material] 		right_only
90	Title: National Geographic historical atlas of the United 	G1201.S1 F5 2004	right_only
91	Title: Historical atlas of the United States [cartographic 	G1201.S1 H4 2007	right_only
92	Title: Historical atlas of the United States / [cartographic 	G1201.S1 H5 2003	right_only
93	Title: Historical atlas of the United States. 	G1201.S1 N3 1988	right_only
94	Title: Atlas of early American history : the Revolutionary 	G1201.S3 A8	right_only
95	Title: Atlas of the American Revolution / map selection and 	G1201.S3 N4 1974	right_only
96	Title: The American Revolution, 1775-1783; an atlas of 18th 	G1201.S3 U5	right_only
97	Title: Atlas of the Civil War [cartographic material] : a 	G1201.S5 N2 2009	right_only
98	Title: Mapping New Jersey [cartographic material] : an 		right_only
99	Title: The historical atlas of the Congresses of the 	G1281.F8 M3 1994	right_only
100	Title: Virginia in maps [cartographic material] : four 	G1291.S1 V5 2000	right_only
101	Title: Atlas of Kentucky / [cartographic material] / 	G1330 .A77 1998	right_only
102	Title: Historical atlas of Louisiana / by Charles Robert 	G1361.S1 G6 1995	right_only
103	Title: Pioneer atlas of the American West; containing 	G1380 .R35	right_only
104	Title: Historical atlas of the American West / by Warren A. 	G1381.S1 B4 1989	right_only
